Rank,Metropolitan Zone,Longitude,Latitude
1,New York-Newark-Jersey City,-74.0059,40.7127
2,Los Angeles-Long Beach-Anaheim,-118.2437,34.0522
3,Chicago-Naperville-Arlington Heights,-87.6298,41.8783
4,Dallas-Fort Worth-Arlington,-97.0312,32.7827
5,Philadelphia-Camden-Wilmington,-75.1364,39.9526
6,Houston-The Woodlands-Sugar Land,-95.3697,29.7603
7,Washington-Arlington-Alexandria,-77.0369,38.8951
8,Atlanta-Sandy Springs-Marietta,-84.3881,33.7489
9,Phoenix-Mesa-Glendale,-112.074,33.4484
10,San Francisco-Oakland-Hayward,-122.3321,37.7749
