Name,Country,Latitude,Longitude,Status,Capacity,Continent,Population
Ågesta,Sweden,59.206,18.0829,Shutdown,9.0,Europe,10400000
Barseback-1,Sweden,55.745,12.926,Shutdown,570.0,Europe,10400000
Barseback-2,Sweden,55.745,12.926,Shutdown,570.0,Europe,10400000
Forsmark-1,Sweden,60.405,18.168,Operational,900.0,Europe,10400000
Forsmark-2,Sweden,60.405,18.168,Operational,900.0,Europe,10400000
Forsmark-3,Sweden,60.405,18.168,Operational,1050.0,Europe,10400000
Oskarshamn-1,Sweden,57.415,16.666,Shutdown,440.0,Europe,10400000
Oskarshamn-2,Sweden,57.415,16.666,Shutdown,580.0,Europe,10400000
Oskarshamn-3,Sweden,57.415,16.666,Operational,1050.0,Europe,10400000
Ringhals-1,Sweden,57.259,12.111,Shutdown,881.0,Europe,10400000
Ringhals-2,Sweden,57.259,12.111,Shutdown,820.0,Europe,10400000
Ringhals-3,Sweden,57.259,12.111,Operational,915.0,Europe,10400000
Ringhals-4,Sweden,57.259,12.111,Operational,1130.0,Europe,10400000
Akademik Lomonosov-1,Russia,69.709579,170.30625,Operational,30.0,Asia,146200000
Akademik Lomonosov-2,Russia,69.709579,170.30625,Operational,30.0,Asia,146200000
APS-1 Obninsk,Russia,55.084,36.57,Shutdown,5.0,Asia,146200000
Balakovo-1,Russia,52.092,47.952,Operational,950.0,Asia,146200000
Balakovo-2,Russia,52.092,47.952,Operational,950.0,Asia,146200000
Balakovo-3,Russia,52.092,47.952,Operational,950.0,Asia,146200000
Balakovo-4,Russia,52.092,47.952,Operational,950.0,Asia,146200000
Baltic-1,Russia,54.939,22.162,Under Construction,1109.0,Asia,146200000
Beloyarsk-1,Russia,56.842,61.321,Shutdown,102.0,Asia,146200000
Beloyarsk-2,Russia,56.842,61.321,Shutdown,146.0,Asia,146200000
Beloyarsk-3,Russia,56.842,61.321,Operational,560.0,Asia,146200000
Beloyarsk-4,Russia,56.842,61.321,Operational,820.0,Asia,146200000
Beloyarsk-5,Russia,56.842,61.321,Planned,778.4198895027624,Asia,146200000
Bilibino-1,Russia,68.059,166.492,Shutdown,11.0,Asia,146200000
Bilibino-2,Russia,68.059,166.492,Operational,11.0,Asia,146200000
Bilibino-3,Russia,68.059,166.492,Operational,11.0,Asia,146200000
Bilibino-4,Russia,68.059,166.492,Operational,11.0,Asia,146200000
Kalinin-1,Russia,57.903,35.057,Operational,950.0,Asia,146200000
