Rank,Metropolitan Zone,Longitude,Latitude
1,Tokyo,139.6917° E,35.6895° N
2,New York City,74.0059° W,40.7127° N
3,Delhi,77.2184° E,28.6139° N
4,São Paulo,-46.6369° W,-23.5484° S
5,Mexico City,-99.1272° W,19.4270° N
6,Shanghai,121.4642° E,31.2225° N
7,Mumbai,72.8563° E,19.0760° N
8,Los Angeles,-118.2437° W,34.0522° N
9,Kolkata,88.3639° E,22.5689° N
10,Dhaka,90.4167° E,23.7167° N
11,Karachi,67.0667° E,24.8667° N
12,Buenos Aires,-58.3819° W,-34.6039° S
13,Cairo,31.2522° N,30.0625° E
14,Osaka,135.5022° E,34.6939° N
15,Beijing,116.4074° E,39.9075° N
16,Istanbul,28.9783° E,41.0082° N
17,Manila,120.9822° E,14.6078° N
18,Paris,2.3488° E,48.8534° N
19,Moscow,37.6173° E,55.7558° N
20,London,-0.1278° W,51.5074° N
21,Rio de Janeiro,-43.1729° W,-22.9069° S
22,Chicago,-87.6298° W,41.8783° N
23,Bangkok,100.5073° E,13.7500° N
24,Philadelphia,-75.1364° W,39.9526° N
25,Guangzhou,113.2578° E,23.1292° N
