Country,Population
Sweden,10400000
Russia,146200000
Türkiye,84300000
Kazakhstan,19100000
Spain,47400000
Brazil,214500000
United States,332400000
Armenia,3000000
Argentina,47300000
United Arab Emirates,10400000
Belarus,9400000
Bulgaria,6900000
France,67000000
United Kingdom,67800000
Switzerland,8700000
Germany,83200000
Slovakia,5500000
Netherlands,17700000
Belgium,11700000
Canada,38000000
Iran,84100000
Italy,59300000
China,1440000000
Romania,19300000
Pakistan,220800000
Ukraine,43100000
Taiwan,23800000
Czechia,10700000
Egypt,102300000
Japan,125500000
South Korea,51800000
Lithuania,2800000
India,1410000000
South Africa,60100000
Slovenia,2100000
Mexico,128900000
Finland,5500000
Hungary,9800000
Bangladesh,164700000
Austria,9000000
