Country,Capacity,Population,Daily_Capacity_kWh,Daily_Capacity_Per_Capita_kWh,Sufficient_For_25kWh_Per_Day
Argentina,1619.0,47300000.0,38856000.0,0.8214799154334038,False
Armenia,375.0,3000000.0,9000000.0,3.0,False
Belarus,2220.0,9400000.0,53280000.0,5.6680851063829785,False
Belgium,3727.0,11700000.0,89448000.0,7.645128205128205,False
Brazil,1854.0,214500000.0,44496000.0,0.20744055944055945,False
Bulgaria,1956.0,6900000.0,46944000.0,6.803478260869565,False
Canada,13489.0,38000000.0,323736000.0,8.519368421052631,False
China,52913.0,1440000000.0,1269912000.0,0.8818833333333334,False
Czechia,3736.0,10700000.0,89664000.0,8.379813084112149,False
Finland,3760.0,5500000.0,90240000.0,16.407272727272726,False
France,61040.0,67000000.0,1464960000.0,21.86507462686567,False
Hungary,1638.0,9800000.0,39312000.0,4.011428571428572,False
India,6301.0,1410000000.0,151224000.0,0.10725106382978723,False
Iran,915.0,84100000.0,21960000.0,0.2611177170035672,False
Japan,9486.0,125500000.0,227664000.0,1.8140557768924304,False
Mexico,1560.0,128900000.0,37440000.0,0.2904577191621412,False
Netherlands,495.0,17700000.0,11880000.0,0.6711864406779661,False
Pakistan,3259.0,220800000.0,78216000.0,0.3542391304347826,False
Romania,1300.0,19300000.0,31200000.0,1.616580310880829,False
Russia,27612.0,146200000.0,662688000.0,4.532749658002736,False
Slovakia,2188.0,5500000.0,52512000.0,9.547636363636364,False
Slovenia,632.0,2100000.0,15168000.0,7.222857142857142,False
South Africa,1842.0,60100000.0,44208000.0,0.7355740432612313,False
South Korea,23832.0,51800000.0,571968000.0,11.041853281853282,False
Spain,6435.0,47400000.0,154440000.0,3.258227848101266,False
Sweden,5945.0,10400000.0,142680000.0,13.71923076923077,False
Switzerland,2580.0,8700000.0,61920000.0,7.117241379310345,False
Taiwan,1874.0,23800000.0,44976000.0,1.889747899159664,False
Ukraine,13095.0,43100000.0,314280000.0,7.291879350348028,False
United Arab Emirates,3930.0,10400000.0,94320000.0,9.069230769230769,False
United Kingdom,6115.0,67800000.0,146760000.0,2.1646017699115045,False
United States,90319.0,332400000.0,2167656000.0,6.5212274368231045,False
